company_name,company_type,public_link,agency_name,agency_link,doing_biz,case_name,case_link,date,segment,city,tools,small_image,big_image,video,logo,relevant_cases,video_iframe
Кафе «Хлеб и Пицца для друзей»,3,https://vk.com/pizzaforfriends,,,3,ВКонтакте как главная площадка для бизнеса,vk.com/@business-hleb-i-pizza-biz,26.08.2019,1,Киров,"4, 5, 6, 7, 10, 11, 16",https://pp.userapi.com/2FyVPWu2VnqR3dSzjB7wPqCbdWsNDGERUoXWig/yBmpx9hPcLs.jpg,https://pp.userapi.com/eUrLbdmVZWKk3RZoXQrppCttpuJkqSuvGcjn7g/olj0OEG-gSo.jpg,,https://pp.userapi.com/rAIdaIkzE2lk-tvMlwYcOrgleSEjWqe83dyoCg/ST4Ecf4CC60.jpg,"vk.com/@business-hleb-i-pizza-ads, vk.com/@business-sava, vk.com/@business-korzov",
Карта беспроцентной рассрочки «Совесть»,2,https://vk.com/sovestclub,,,18,Как команда развивает Страницу бизнеса,vk.com/@business-sovest,30.08.2019,5,Москва,"3, 4, 5, 6",https://sun9-65.userapi.com/c857616/v857616394/622f1/XG8DD7GOW9c.jpg,https://sun9-8.userapi.com/c857616/v857616394/622ea/n0QasmPoOPw.jpg,,https://sun9-41.userapi.com/c857616/v857616394/622e0/vwVRh0_E8Gk.jpg,"vk.com/@business-samsebetur, vk.com/@business-videoglaz, vk.com/@business-konkurs-datsun",
Проект «Учим химию»,3,https://vk.com/chemistrynaeasy,,,8,Интерес к науке превратился в настоящий бизнес,vk.com/@business-uchim-himiu,10.10.2019,2,Санкт-Петербург,"3, 4, 7, 8, 13, 14",https://pp.userapi.com/FyB9UajXHhqmXAWX63B6NNT5Q-5zDR4EWl_SLw/C0OkzDfBnaM.jpg,https://pp.userapi.com/F9RBAJEE_2R5weHZA-ZUN4tSNgWtlGvHrvUS6g/0LiNf9ERF0w.jpg,,https://pp.userapi.com/dDbuf9NyjgMvqFUqZYJPpoC7g7FCMA10WuIT_A/QGE92C9cgXw.jpg,"vk.com/@business-korzov, vk.com/@business-yurist, vk.com/@business-soroban",
Школа устного счёта «Соробан»,3,https://vk.com/soroban.pskov,,,19,Клиенты из ВКонтакте для школы устного счёта,vk.com/@business-soroban,09.10.2019,2,Псков,"2, 3, 6, 8",https://pp.userapi.com/16vnzFV6i3KhtNPNLIXQ6o6EoNVJr5vjlN_hYg/PO-9Lh-U3Mc.jpg,https://pp.userapi.com/7J9ASkmrjqOHo4sGPu4dFVzJoqnVujGTKnylGw/bqavPzPBEH8.jpg,,https://pp.userapi.com/5d8bKy7TT0jJLswzCB21cpATbH6EkS-kDSh3Tg/tWyaISdBJi0.jpg,"vk.com/@business-korzov, vk.com/@business-yurist, vk.com/@business-uchim-himiu",
Магазин уличной и хип-хоп одежды BeatStreet,3,https://vk.com/beatstreetshop,,,13,"Хобби, которое стало прибыльным благодаря ВКонтакте",vk.com/@business-beatstreet,03.10.2019,6,Ковров,"8, 9, 13, 14",https://pp.userapi.com/UGuO7CYAZk4oyt0ztLCJ8RTtIjU3ApcoH-bu-w/QIGMuHvVUKI.jpg,https://pp.userapi.com/PeGparw31tVLhvRQhN0hAtm1MhZyqF-akEkKVg/25rBfMzMxCg.jpg,,https://pp.userapi.com/6_9k6j7YQX-Ktbt_q0I2gW6QuHxuwOe92BQshA/-ShRPCKbP6g.jpg,"vk.com/@business-sava, vk.com/@business-bbr, vk.com/@business-videoglaz",
Цветочная мастерская «Мята»,3,https://vk.com/myatart,,,2,Клиенты из ВКонтакте для цветочной мастерской,vk.com/@business-mjata,27.09.2019,6,Тверь,"8, 12, 6, 7, 10, 11, 15",https://pp.userapi.com/M7ozagUHClXJu0qDPGmncrSi-_BSaB4nncEspQ/Pde-kL-BWEU.jpg,https://pp.userapi.com/HJS-zRwMsDwvzQP0BddlucRjOyRNr7rJT3R2Zw/SyhHOnIQ7Nk.jpg,,https://pp.userapi.com/ZPnGrZpmKfLl-d6NBG2em9vDzlS04-UMl0IeSQ/L1mH2YanO7I.jpg,"vk.com/@business-summertime, vk.com/@business-adv-sava, vk.com/@business-vkusnye-vafli",
Кафе «Вкусные вафли»,3,https://vk.com/yummywaffles,,,4,Как продвигать кафе и увеличить доход в два раза,vk.com/@business-vkusnye-vafli,08.10.2019,1,Калуга,"8, 12, 4, 2, 16, 10, 7, 6",https://pp.userapi.com/XJtgbDL3FKXIghesmoiQDCYYBWdGA5u0kxsryQ/bccmdrAMybI.jpg,https://pp.userapi.com/q41bctZUkDJ_LuS0rACcek1_MN0plCkJBx3N7Q/mo9zbXdY7RY.jpg,,https://pp.userapi.com/YmSTBNCEWFK9LI9Bab_Ghp4ntCvI3N86GlJobQ/iWsi8q_3GIQ.jpg,"vk.com/@business-summertime, vk.com/@business-adv-sava, vk.com/@business-mjata",
Мастерская пошива обуви и аксессуаров BBR Factory,3,https://vk.com/bikerbootsrussia,,,12,Бизнес-путь от гаража до шоурума в центре Москвы,vk.com/@business-bbr,27.08.2019,6,"Москва, Санкт-Петербург","7, 8, 9, 10",https://sun9-46.userapi.com/c854128/v854128394/e248e/7_UpqLImyT0.jpg,https://sun9-64.userapi.com/c854128/v854128394/e2498/HNJ20jAk37g.jpg,https://vk.com/video-19542789_456239267,https://sun9-43.userapi.com/c854128/v854128394/e249f/CIdY51epERA.jpg,"vk.com/@business-sava, vk.com/@business-beatstreet, vk.com/@business-videoglaz",https://vk.com/video_ext.php?oid=-19542789&id=456239267&hash=6e600494a09f4529
Фабрика мебели «Сава»,3,https://vk.com/kitchen43,,,7,ВКонтакте как основной источник клиентов,vk.com/@business-sava,20.02.2019,4,Киров,"12, 3, 9",https://pp.userapi.com/-vg31IL-d3vLELa5Huo3C1jPJa2Dsdlrv-AuLQ/L1QbhfPoR2c.jpg,https://pp.userapi.com/K5cWCZn4X3LElnBWe1vXu36gonGOdhMRQhbdeA/4abSabDJNPc.jpg,,https://pp.userapi.com/jmvbDLJKZKJbpeiuVU_46KTJ5ljzUWbAabh2mQ/ZV80yaYk3-E.jpg,"vk.com/@business-gusli, vk.com/@business-bbr, vk.com/@business-videoglaz",
Фотограф Алексей Корзов,3,https://vk.com/korzovphoto,,,5,От библиотекаря до фотографа: как я построил бизнес ВКонтакте,vk.com/@business-korzov,05.06.2019,3,Санкт-Петербург,"15, 4, 8",https://pp.userapi.com/gjxG6X92-G2qVMEXXDs7nv55Q6giVpU1Nn1GGA/Q7cN-F2Kkmk.jpg,https://pp.userapi.com/0Bol4IIBf1JsCrwPJEtYjOU2oqX9ckKYNOGsEQ/ADS1TG5L9OU.jpg,https://vk.com/video-19542789_456239235,https://pp.userapi.com/9hAvE1k_TZBI_yNjVNfcb-ko2U1LJ5I7sFieWQ/1B5n1yKK8Xo.jpg,"vk.com/@business-uchim-himiu, vk.com/@business-yurist, vk.com/@business-soroban",https://vk.com/video_ext.php?oid=-19542789&id=456239235&hash=f064c783781d4c4d
Авторское мороженое SUMMERTIME,3,https://vk.com/summertime_spb,,,16,Зачем авторскому мороженому Страница бизнеса,vk.com/@business-summertime,17.10.2019,6,Санкт-Петербург,"3, 4, 7, 8, 10, 11",https://pp.userapi.com/LobpQ1LyFiEbFQwYI3xFAzi6cs_JWUlbb2VjJA/pr-iM94vAkI.jpg,https://pp.userapi.com/ttpUk2VSNepMWDCIZrGvex0cPjBIfhFCdgHHxQ/mal6cS5ckjg.jpg,https://vk.com/video-19542789_456239221,https://pp.userapi.com/JJqYLJNu8K61PhQWD8MTcaVdyEpGiUt5IsW-6Q/QNqkAgbT_Mc.jpg,"vk.com/@business-vkusnye-vafli, vk.com/@business-stedroll, vk.com/@business-hleb-i-pizza-ads",https://vk.com/video_ext.php?oid=-19542789&id=456239221&hash=1b290909dbdc2126
Народная мануфактура «Мир Гуслей»,3,https://vk.com/guslivsemm,,,14,Гусли — идеальный товар для ВКонтакте,vk.com/@business-gusli,09.07.2019,9,Тверь,"4, 5, 7, 8, 9",https://pp.userapi.com/RizeCV45OLJWdLiMpuUWOhR5yaiAPSz0-Q9gSg/41aywziVCgw.jpg,https://pp.userapi.com/bhIeW1RrxUceXUROdyZ48bcFCJFboOAg0EshcQ/E1vQvaVD0Tw.jpg,https://vk.com/video-19542789_456239251,https://pp.userapi.com/cfaWscQcMSKbOzNYAwNtrerQXB4jho_a3faw8g/74Ib0ehseJ8.jpg,"vk.com/@business-sava, vk.com/@business-bbr, vk.com/@business-adv-sava",https://vk.com/video_ext.php?oid=-19542789&id=456239251&hash=2b0e0ae5c05a1171
Автомобильный бренд Datsun,1,https://vk.com/datsunrus,TBWA/,,20,Спортивный конкурс на всю Россию,vk.com/@business-konkurs-datsun,18.06.2018,7,,"1, 8, 5, 14",https://pp.userapi.com/sgxy5Hs8myjdpIfRXOHiWg8EqCEitF078PtNrA/T6RGTKn3DtA.jpg,https://pp.userapi.com/H54dalRmlmJX_gmrQHYhsxBtEywiRHwbE5l0gw/HwL-TCpyj2s.jpg,https://vk.com/video2355214_456239019,https://pp.userapi.com/OnqFcy3LlqqoRpk8eNAxxyLv88PVazQhOYTgAg/5RxOOyWVwIc.jpg,"vk.com/@business-dodo, vk.com/@business-videoglaz, vk.com/@business-stedroll",https://vk.com/video_ext.php?oid=2355214&id=456239019&hash=f8d57be2749a4077
Сеть пиццерий «Додо Пицца»,1,https://vk.com/dodo,Republic,https://vk.com/smmrepublic,6,244 678+ новых подписчиков за полгода,vk.com/@business-dodo,18.09.2019,1,,8,https://pp.userapi.com/0x6d9EyI6hncAL3OndRV7dz_I472jwF-iGQMtA/6DOVtjOR8eU.jpg,https://pp.userapi.com/bP7bUoZWhWZOe8gc4GCuU4tmf9rymW99Vhsncg/3hc-MzUdErs.jpg,,https://pp.userapi.com/jf827zS13eu4aBY0wm8nqQrKKMoBMtBM0S1MOg/sWodmHSC224.jpg,"vk.com/@business-konkurs-datsun, vk.com/@business-videoglaz, vk.com/@business-stedroll",
Кафе «Хлеб и пицца для друзей»,3,https://vk.com/pizzaforfriends,,,9,Из онлайна в офлайн: как приводить гостей в кафе,vk.com/@business-hleb-i-pizza-ads,27.05.2019,1,Киров,"8, 5, 11, 17",https://pp.userapi.com/LxBjydh4KwDpuITkJgXbrGAjDEqVlvienRO17g/rNzJHarjjeY.jpg,https://pp.userapi.com/rDv0D9w8ufCVeX-9bx0bB2hbigsmKI0fqXog-A/iJq6AVN6DNw.jpg,,https://pp.userapi.com/rAIdaIkzE2lk-tvMlwYcOrgleSEjWqe83dyoCg/ST4Ecf4CC60.jpg,"vk.com/@business-vkusnye-vafli, vk.com/@business-summertime, vk.com/@business-stedroll",
Юрист Ольга Екимова,3,https://vk.com/ekimovaon,,,11,Как юристу получать тысячи заявок из ВКонтакте,vk.com/@business-yurist,06.10.2018,3,Череповец,"3, 6, 8, 9, 12, 15 ",https://pp.userapi.com/9j2Iq_BIBVTdcov7qcY0bWw11b9BTpgy7aYsDg/19omRHR1X28.jpg,https://pp.userapi.com/M8lP9gzqqm83jYmmRgzRQoX9EhwKvyWQddW_eQ/DKigddG7r_Q.jpg,,https://pp.userapi.com/XVYxyEv0sDe--T72gD_zsWcsz_SzQvA1fbqosw/siD4EX0pmmU.jpg,"vk.com/@business-korzov, vk.com/@business-uchim-himiu, vk.com/@business-soroban",
Клуб путешественников «СамСебеТур»,3,https://vk.com/samsebetur,,,17,Клиенты из ВКонтакте для туроператора,vk.com/@business-samsebetur,13.03.2018,8,,"3, 4, 6, 7, 8, 9",https://pp.userapi.com/DGAVp3Aw8gaFTaKhnGyCfMovIpht6nwhdjrHsA/8jFeSZLYoR4.jpg,https://pp.userapi.com/5TqQZpWTN7HiCqo1-Unx9n-Hbg_Ru27HIyLlqg/DcOOLQXYjlg.jpg,,https://pp.userapi.com/cVujJhiIQw9YO-Q4SeYcCt3JlGwTwjUTFNDobg/3-X0y5Y49qc.jpg,"vk.com/@business-sovest, vk.com/@business-videoglaz, vk.com/@business-konkurs-datsun",
Интернет-магазин «Видеоглаз»,2,https://vk.com/tdvideoglaz,,,15,Поиск новых клиентов с помощью рекламы и опросов,vk.com/@business-videoglaz,13.05.2019,4,,"2, 8, 12, 16",https://pp.userapi.com/CzTeSP0GDTcBZ-Tx0lJ0rNsw-2GNuV3K3JIVvQ/-aJiGYPygYc.jpg,https://pp.userapi.com/H0k3GA8lHxDMBI549xCrIv0TUE64uLHsFhBuXQ/GR0tDnV2HP4.jpg,,https://pp.userapi.com/G2mcwA_J-qVSxrhV8WOXx1N_9cY4ZuII2xeNJw/sde0bdDOK8w.jpg,"vk.com/@business-sovest, vk.com/@business-samsebetur, vk.com/@business-konkurs-datsun",
Фабрика мебели «Сава»,3,https://vk.com/kitchen43,,,1,Как с помощью рекламы увеличить дохов в два раза ,vk.com/@business-adv-sava,04.03.2019,4,Киров,"8, 1",https://pp.userapi.com/7BoqTwO5tf9HcZ70Rr8NnFeP8dnu7kvhtGkH7Q/E92W2j0epPI.jpg,https://pp.userapi.com/87DAKdyDuhoAvjCVbGLnIb0rJz8pY4wlGXc8tw/iUagBDhrQrU.jpg,,https://pp.userapi.com/jmvbDLJKZKJbpeiuVU_46KTJ5ljzUWbAabh2mQ/ZV80yaYk3-E.jpg,"vk.com/@business-gusli, vk.com/@business-bbr, vk.com/@business-videoglaz",
Доставка японской еды STEDROLL,3,https://vk.com/stedroll,,,10,Первый миллион на доставке еды,vk.com/@business-stedroll,01.10.2019,1,Псков,"4, 7, 6, 8, 10, 7",https://pp.userapi.com/jubwsaANJTbpKuQciAkonqnpx2PfwCS8VJIUPQ/DI0dYmv1tQA.jpg,https://pp.userapi.com/3NCuOF8ZWgreuswThvPln5eVhEfI4sIH10C38Q/YT_Ibp5mwQ4.jpg,,https://pp.userapi.com/HNgs9eEP-j1xUGzP1STf88pwoI5zZXplH6hMdQ/fxXAvoviRmQ.jpg,"vk.com/@business-vkusnye-vafli, vk.com/@business-summertime, vk.com/@business-hleb-i-pizza-ads",